iter	F1	Logloss
0	0.9377328366	0.6356284979
1	0.9469201822	0.5907963561
2	0.9510940744	0.5452478718
3	0.9522869784	0.5026402123
4	0.9485793312	0.4670900627
5	0.9484879952	0.4439048501
6	0.9498054844	0.4137830198
7	0.9493375394	0.3884556015
8	0.9494293461	0.3652073091
9	0.94932997	0.3443893967
10	0.9493790582	0.3253858528
11	0.9466424227	0.3109928439
12	0.9488867194	0.2925656169
13	0.9475701316	0.2783883422
14	0.950440077	0.2630213886
15	0.9524532119	0.2492595583
16	0.9522304069	0.2377393446
17	0.953285226	0.228995228
18	0.9541336712	0.2183582581
19	0.9547153081	0.2091279545
20	0.9544346284	0.2008965356
21	0.9544605842	0.194963943
22	0.9552238806	0.1886286774
23	0.9553109835	0.1823320434
24	0.9563092934	0.176061698
25	0.9562622992	0.171328224
26	0.9562982005	0.1669366913
27	0.9571265244	0.1617861705
28	0.9571242412	0.1577670718
29	0.9582326764	0.1539789377
30	0.9583823483	0.1503941947
31	0.9588413178	0.1474776752
32	0.9592532416	0.1442776776
33	0.9599286488	0.1414979156
34	0.9601121448	0.1387121566
35	0.9604130809	0.1361034366
36	0.9607599375	0.1342019209
37	0.961120148	0.1321198362
38	0.9614427067	0.129611836
39	0.9614194084	0.1277231631
40	0.9618798289	0.126071793
41	0.9618135377	0.1244570158
42	0.961696962	0.1230663733
43	0.9621296859	0.12162217
44	0.9620681942	0.1200492927
45	0.9625251589	0.1187217934
46	0.9626457901	0.1169631829
47	0.9629511236	0.115637278
48	0.9632496402	0.1145058401
49	0.9633849699	0.1130386959
50	0.9635536767	0.111665394
51	0.9638669998	0.1106845875
52	0.9642284762	0.1092789842
53	0.9644425919	0.1081312845
54	0.9646681629	0.1070364554
55	0.9647896357	0.1059099118
56	0.9649179066	0.1050509417
57	0.9649156565	0.1042337841
58	0.9651964715	0.1033187942
59	0.9652893622	0.1024774106
60	0.96543091	0.1017410462
61	0.9655814551	0.1009057548
62	0.9661109505	0.100052869
63	0.9664213875	0.09921321465
64	0.966779225	0.0983476843
65	0.966992665	0.09768454547
66	0.9672289467	0.09685184801
